"","Kingdom","Phylum","Class","Order","Family","Genus","Species","freqs"
"8e12efc09e31445c8665a6b00c115e57","d__Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida",NA,NA,NA,1.48557047914123
"f8b7834ceddafa3016e427d8c2b8d7f1","d__Eukaryota","Annelida","Polychaeta","Eunicida",NA,NA,NA,1.47836048915596
"d359625b78b8a88c284b97df822cdbfd","d__Eukaryota","Porifera","Demospongiae","Poecilosclerida",NA,NA,NA,1.18035691900404
"107c85c9b183983b238818a5c05abdba","d__Eukaryota","Protalveolata","Syndiniales","Syndiniales",NA,NA,NA,1.02100100277784
"1cdf514baa282cea4674b506173bffa0","d__Eukaryota","Arthropoda","Maxillopoda","Calanoida",NA,NA,NA,0.843215372779106
"43b8eaec440730927e1d0f69cd49831a","d__Eukaryota","Arthropoda","Ostracoda","Podocopida",NA,NA,NA,0.720711767213133
"852c23c66e7b7c2b8bbaac0faace8355","d__Eukaryota","Chlorophyta","Clade_VII","Subclade_B",NA,NA,NA,0.704492038342748
"5e4b1a0ec302ee54128bf754b95031b9","d__Eukaryota","Arthropoda","Maxillopoda","Copepoda",NA,NA,NA,0.561683348949807
"208551539f820dbdec5abcecf30b7bce","d__Eukaryota","Cnidaria","Anthozoa","Scleractinia",NA,NA,NA,0.557783874483366
"2e8fe2cc534e974c9d82399be671309b","d__Eukaryota","Arthropoda","Malacostraca","Peracarida",NA,NA,NA,0.557434867508531
"62a275935a90aec3d254c589b83cd64d","d__Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae",NA,NA,NA,0.540211277969201
"313c739d9536d6a3a5541f4ca4867636","d__Eukaryota","Florideophycidae","Corallinophycidae","Corallinophycidae",NA,NA,NA,0.429679544231944
"48fc2d87ba34800c51d6b0b45236c512","d__Eukaryota","Tunicata","Ascidiacea","Enterogona",NA,NA,NA,0.381297960914644
"61719cfd04eb4ef86ed92f508fb774e1","d__Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales",NA,NA,NA,0.380655085084232
"298a48d3a7483075fb9307f8580f0850","d__Eukaryota","Porifera","Demospongiae","Dendroceratida",NA,NA,NA,0.334880863040637
"fca23d5d605e71a88f069b3814ed7cd2","d__Eukaryota","Annelida","Polychaeta","Phyllodocida",NA,NA,NA,0.325999738669185
"8606001de5732e919186c0e0d4f78cc1","d__Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae",NA,NA,NA,0.316774202346262
"25c9717cea9a07c4c5b7b5b3ecf47099","d__Eukaryota","Arthropoda","Maxillopoda","Cyclopoida",NA,NA,NA,0.247883344589311
"bd93364cf914d907af564eeab90768d3","d__Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Prymnesiales",NA,NA,NA,0.240662093659878
"d971365c2587b12c568a1c2c6edab3cb","d__Eukaryota","Arthropoda","Maxillopoda","Harpacticoida",NA,NA,NA,0.222330251326268
"47b7d40192abe82cd607739d8e672b10","d__Eukaryota","Porifera","Demospongiae","Haplosclerida",NA,NA,NA,0.152361400187396
"d6255c90915801708ba85769bb7a187b","d__Eukaryota","Porifera","Calcarea","Clathrinida",NA,NA,NA,0.149927259047596
"d433a2794b03d04dccda721df097b970","d__Eukaryota","Ochrophyta","Pelagophyceae","Pelagophyceae",NA,NA,NA,0.133930927150883
"092dd81a4dc2258b7fc89038836cefd8","d__Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae",NA,NA,NA,0.132737345053459
"60671413f794ca0fda1a1c24c6d9f165","d__Eukaryota","Cnidaria","Anthozoa","Alcyonacea",NA,NA,NA,0.121438476519565
"1a59540c5ecfb474e9eff15161e4895d","d__Eukaryota","Arthropoda","Malacostraca","Eucarida",NA,NA,NA,0.118891197241907
"8554b109f4a8340aa6946891e12c1f2c","d__Eukaryota","Retaria","RAD_A","RAD_A",NA,NA,NA,0.118415800102577
"45516ddb4742b1828c3470810debc96f","d__Eukaryota","Porifera","Demospongiae","Dictyoceratida",NA,NA,NA,0.111168395190298
"e0a6b9e7a5cdab3f7dfd42b0fb09a16f","d__Eukaryota","Porifera","Demospongiae","Demospongiae",NA,NA,NA,0.107569715793308
"cd2cdb63cbdc32bfdcf2812f26175f2a","d__Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea",NA,NA,NA,0.0929753336251928
"f89d91bf8503edef79476a170905ed35","d__Eukaryota","Diatomea","Mediophyceae","Mediophyceae",NA,NA,NA,0.0790690413226928
"4d8276cd495fae9f114e11a780931f3d","d__Eukaryota","Euglenozoa","Kinetoplastea","Neobodonida",NA,NA,NA,0.0782275001936377
"7ea579e27689fb792807f00258360312","d__Eukaryota","Cnidaria","Hydrozoa","Anthoathecata",NA,NA,NA,0.0755691100794268
"851a19862883103114776940b643c2f9","d__Eukaryota","Echinodermata","Ophiuroidea","Ophiuroidea",NA,NA,NA,0.0705409620911751
"0cfb0005445ca1e6752f3dcd47afe6ce","d__Eukaryota","Porifera","Calcarea","Leucosolenida",NA,NA,NA,0.0654534668669938
"72fec4164cef8cc7f1c313961076cf37","d__Eukaryota","Chlorophyta","Ulvophyceae","Ulvophyceae",NA,NA,NA,0.0637134922533169
"a1eb236e3eb9e4be4da9035d67d18d6a","d__Eukaryota","uncultured","uncultured","uncultured",NA,NA,NA,0.063694309140211
"29fb61a621d18d3b2333272cf66aa752","d__Eukaryota","Mollusca","Bivalvia","Pectinoida",NA,NA,NA,0.0636386451157746
"48ffa9f5ccc98237b1b03a44fe0b791f","d__Eukaryota","Bicosoecida","Bicosoecida","Bicosoecida",NA,NA,NA,0.0611200091546912
"544402fa488c1de46526851707812850","d__Eukaryota","Annelida","Polychaeta","Terebellida",NA,NA,NA,0.0578091781826767
"ab0ebf7aa03702b2478f388ff44869df","d__Eukaryota","Tunicata","Ascidiacea","Stolidobranchia",NA,NA,NA,0.0522741189305213
"d387b732e8d68b2a59d8ae1940491cd8","d__Eukaryota","Mollusca","Gastropoda","Caenogastropoda",NA,NA,NA,0.050570489474554
"bd88435171ed25c98a72e05e66dbd397","d__Eukaryota","Arthropoda","Arachnida","Acari",NA,NA,NA,0.0496322232068723
"1509342fcccac8d24d22f72f3082afdf","d__Eukaryota","Porifera","Demospongiae","Suberitida",NA,NA,NA,0.0480775127556347
"39a360253acc585d7e5b55d0fc6b4aec","d__Eukaryota","Prymnesiophyceae","uncultured","uncultured",NA,NA,NA,0.0472505912177506
"dbb00f2e6df8f44d985d6f9fd873bb3c","d__Eukaryota","Retaria","Polycystinea","Spumellaria",NA,NA,NA,0.044602899730116
"a8073e7635e2bd3e404fbb2c41364bf3","d__Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Prymnesiophyceae",NA,NA,NA,0.0438793056852106
"6a1b56207d2ae9867367da21e13d5399","d__Eukaryota","Chlorophyta","Clade_VII","Subclade_A",NA,NA,NA,0.0418289690173739
"a6e9a1e30819bdc76efa431f37233f15","d__Eukaryota","Bryozoa","Stenolaemata","Cyclostomatida",NA,NA,NA,0.0413973659251468
"bc27103ee2314ab5315b3001eda0a24f","d__Eukaryota","Arthropoda","Maxillopoda","Siphonostomatoida",NA,NA,NA,0.0387546269055345
"332e2e340e53afdaad6bd0b3718e5037","d__Eukaryota","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,NA,NA,0.0332267006947179
"bcc839d003344b02229c58fa90107179","d__Eukaryota","Diatomea","Coscinodiscophytina","Fragilariales",NA,NA,NA,0.0321415024255383
"688e780a8e8eb772cdf4bdc7a7cf75c8","d__Eukaryota","Ascomycota","Dothideomycetes","Dothideales",NA,NA,NA,0.0303120767186327
"de1ec31b15c142dafde2a89134ae4bab","d__Eukaryota","Mollusca","Gastropoda","Heterobranchia",NA,NA,NA,0.0297234485856603
"fd6f427eeac3d9ce5cfa8b8f66a8dc47","d__Eukaryota","MAST-4","MAST-4","MAST-4",NA,NA,NA,0.0294421081178008
"f2a6d5c0baaf13b467abc976101dcada","d__Eukaryota","Holozoa","Choanoflagellida","Acanthoecida",NA,NA,NA,0.0280979779767094
"3aee23b912decda6831f53bfc86a669e","d__Eukaryota","Arthropoda","Ostracoda","Halocyprida",NA,NA,NA,0.0279359314220686
"fed76fed907964dc974d76451cbdacb5","d__Eukaryota","Cercozoa","Chlorarachniophyta","Chlorarachniophyta",NA,NA,NA,0.0278183786897325
"bcadaccf1790bbfff82bf1e2ddf583a8","d__Eukaryota","Cnidaria","Hydrozoa","Leptothecata",NA,NA,NA,0.0269285099832794
"6def91b8a701bb99d1f6f647c91323ce","d__Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales",NA,NA,NA,0.0257185163497636
"626fbce8e69111d1c799d0c9601a45aa","d__Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales",NA,NA,NA,0.025546656118598
"cc74349fa8ec82bba7a82e99efd83679","d__Eukaryota","Tunicata","Thaliacea","Salpida",NA,NA,NA,0.0243494114448708
"84c5455975ac82f74dd6393765704aa5","d__Eukaryota","Picozoa","Picomonadida","Picomonadida",NA,NA,NA,0.0222478382181921
"bf46ed8449e5fa6c530b1dcef5621bc0","d__Eukaryota","Euglenozoa","Diplonemea","Diplonemea",NA,NA,NA,0.0208114831627483
"ef6bc2ccba82f30019a308ed4b5834fc","d__Eukaryota","Mollusca","Bivalvia","Mytiloida",NA,NA,NA,0.0203711235314496
"63e775227f23aa2736348ce4c0b89976","d__Eukaryota","Retaria","RAD_B","RAD_B",NA,NA,NA,0.0203408147995972
"8e466f7bbfd900e98082090ce5789ca0","d__Eukaryota","Ochrophyta","Phaeophyceae","Dictyotales",NA,NA,NA,0.018891323102532
"0a8df5823532454263da63830b7b79e8","d__Eukaryota","Vertebrata","Actinopterygii","Teleostei",NA,NA,NA,0.0185552815786496
"46d2f3509abea4d8ba15beca64c2b9ce","d__Eukaryota","Annelida","Polychaeta","Capitellida",NA,NA,NA,0.0182445993694581
"f4b29d655c849bb377f2f894c4eb5291","d__Eukaryota","Ciliophora","Intramacronucleata","Conthreep",NA,NA,NA,0.0176788182430916
"e48f5be3ff1c8502e849d673b0e4b192","d__Eukaryota","Porifera","Demospongiae","Tetractinellida",NA,NA,NA,0.0173965391495773
"9811d1017b42544c2f820b30ed9ff712","d__Eukaryota","Retaria","Acantharia","Arthracanthida",NA,NA,NA,0.0154901489335239
"f554a8acec83f4ef87c19156198131eb","d__Eukaryota","Platyhelminthes","Rhabditophora","Prolecithophora",NA,NA,NA,0.0150354422770444
"8382e07913a79bb43ecb1669ea689065","d__Eukaryota","Arthropoda","Ostracoda","Myodocopida",NA,NA,NA,0.014040261282149
"dd9687af13f6f71d8297b937ed2e8d8a","d__Eukaryota","Dinoflagellata","Incertae_Sedis","Incertae_Sedis",NA,NA,NA,0.0138311163593179
"01faf0baf4a2aaeac4a10db320a15f98","d__Eukaryota","MAST-1","MAST-1D","MAST-1D",NA,NA,NA,0.0133171683601397
"ff57e3ee305ff80136ba9752cface738","d__Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Isochrysidales",NA,NA,NA,0.0127765165751304
"e5f1b6564984ef2446818e714ac86504","d__Eukaryota","Ochrophyta","Dictyochophyceae","Dictyochales",NA,NA,NA,0.0127050663989975
"e6cd93bc0480fcc016509b8519b21c2d","d__Eukaryota","Nematozoa","Chromadorea","Desmodorida",NA,NA,NA,0.0124774464526589
"66334905aaf145c318d6bd7cf598dbe2","d__Eukaryota","Ochrophyta","Phaeophyceae","Ectocarpales",NA,NA,NA,0.0120690461952258
"0a4350c5580f7944e19a5918cc64b917","d__Eukaryota","Nematozoa","Enoplea","Triplonchida",NA,NA,NA,0.0117075702995197
"2870f5a91021a44c5dff6cabfe47c37e","d__Eukaryota","MAST-8","MAST-8","MAST-8",NA,NA,NA,0.0116844523466099
"8e82d75881fb816e3a033ab0b6775422","d__Eukaryota","Mollusca","Mollusca","Mollusca",NA,NA,NA,0.011092749574224
"6a0b36b92327bf6027f516fcb026da6a","d__Eukaryota","Annelida","Polychaeta","Spionida",NA,NA,NA,0.010913475958622
"859872b8214730c237819d317a3255c7","d__Eukaryota","Mollusca","Bivalvia","Pterioida",NA,NA,NA,0.0107763819376499
"2074f0fd02b2f64496e22d1af0016a6f","d__Eukaryota","Labyrinthulomycetes","Labyrinthulomycetes","Labyrinthulomycetes",NA,NA,NA,0.0101488406922376
"b0bf3145c32f8fe9fcb84ce86d726cc9","d__Eukaryota","Porifera","Demospongiae","Lithistida",NA,NA,NA,0.0101413531263742
"3c0655b56399f9050e17c7e83c78d4ce","d__Eukaryota","Retaria","Acantharia","Acantharea_Group_II",NA,NA,NA,0.0101149562306472
"fbb44b044bba9b183743a916dff62b6f","d__Eukaryota","Peronosporomycetes","Peronosporomycetes","Peronosporomycetes",NA,NA,NA,0.0100349721445495
"c98614ce55d51674ee03220937ca1aaa","d__Eukaryota","Retaria","Polycystinea","Collodaria",NA,NA,NA,0.0100304409671283
"d59dce0e76f9cd01c7f4c61b0e3e7b3c","d__Eukaryota","Arthropoda","Arachnida","Opiliones",NA,NA,NA,0.00910049276976012
"b5117a32135933281eedfeb43b63c6fb","d__Eukaryota","Ochrophyta","Raphidophyceae","Raphidophyceae",NA,NA,NA,0.00899891084730598
"480a0a9fd6e747476ecfa60023a1f784","d__Eukaryota","MAST-3","MAST-3F","MAST-3F",NA,NA,NA,0.00874789539781592
"a1fda4daf23708a5a7b692ede55fe489","d__Eukaryota","MAST-11","MAST-11","MAST-11",NA,NA,NA,0.0081906679668273
"77cb7cb76e4a4e431f25d21816332e54","d__Eukaryota","Dinoflagellata","Dinophyceae","Prorocentrales",NA,NA,NA,0.00815901773141332
"ca6d2ddfd5cddf109c33651d9487dc7a","d__Eukaryota","Kathablepharidae","Kathablepharidae","Kathablepharidae",NA,NA,NA,0.00811038734080988
"e488cb3a38bdce690be27c100d3005c5","d__Eukaryota","Porifera","Demospongiae","Halichondrida",NA,NA,NA,0.00794027998959367
"9c1c30a7c368258f0f80204e5e368d43","d__Eukaryota","Diatomea","Coscinodiscophytina","Coscinodiscophytina",NA,NA,NA,0.00789623394154928
"c1bf27ed60065a2f06bba698f190da8c","d__Eukaryota","Ochrophyta","Chrysophyceae","uncultured",NA,NA,NA,0.00741920210428447
"e5ac02c4711422fa1118c9e4c5d50a89","d__Eukaryota","Entoprocta","Entoprocta","Coloniales",NA,NA,NA,0.00722022919976993
"e8f619444c6a662a38c944633ea74177","d__Eukaryota","Arthropoda","Pycnogonida","Pantopoda",NA,NA,NA,0.00719398418065026
"f9a980f05b1a0eaee3a20c8b9a98e71b","d__Eukaryota","MAST-7","MAST-7D","MAST-7D",NA,NA,NA,0.00713427289738319
"76af8f580eb7ddbb90c9107698e0e7ea","d__Eukaryota","MAST-3","MAST-3E","MAST-3E",NA,NA,NA,0.00708774281091888
"1ebe9acf33f39878128abf4f8a1aa196","d__Eukaryota","MAST-3","MAST-3I","MAST-3I",NA,NA,NA,0.00696770688045685
"50098e9c252287d0532a991db17a4a50","d__Eukaryota","Mollusca","Gastropoda","Vetigastropoda",NA,NA,NA,0.00695151417658081
"eceb7dae6021eb4a9558ff4e4301e8e8","d__Eukaryota","Dinoflagellata","Dinophyceae","Dinophysiales",NA,NA,NA,0.00694538517157429
"36943983845746110de25967748d9a02","d__Eukaryota","Chlorophyta","Clade_IX","Clade_IX",NA,NA,NA,0.00687291863064721
"5f4b5b617625b2f8fba395e2cf6d630e","d__Eukaryota","Cnidaria","Anthozoa","Corallimorpharia",NA,NA,NA,0.00665746422202032
"d05fc11b1e134dea2eb5f565487a1f3b","d__Eukaryota","Mollusca","Bivalvia","Veneroida",NA,NA,NA,0.00657121724166426
"1dc2b378ba4be62d2712f20fb2cbbec6","d__Eukaryota","Ochrophyta","MOCH-2","MOCH-2",NA,NA,NA,0.00627455515801927
"4ef7109fd365b876b8a395a5c70bbd70","d__Eukaryota","Porifera","Demospongiae","Verongiida",NA,NA,NA,0.00584775726875469
"d5e175ac1142c5b10a1273d4b55b894f","d__Eukaryota","MAST-3","MAST-3B","MAST-3B",NA,NA,NA,0.00564964966671196
"6e4586fe36072b45ef84b3622919693c","d__Eukaryota","Annelida","Polychaeta","Sabellida",NA,NA,NA,0.00533274976982995
"4ff2d73312972677bb67e2532e658530","d__Eukaryota","Porifera","Demospongiae","Axinellida",NA,NA,NA,0.00508006077921081
"9b969abf939313c03a6140274cab5fdf","d__Eukaryota","Cnidaria","Anthozoa","Actiniaria",NA,NA,NA,0.00477663346540649
"c467512296798f908c0755b2fd896394","d__Eukaryota","Tunicata","Appendicularia","Copelata",NA,NA,NA,0.00476542959441642
"959a62620cd490b55ae690c106cb1651","d__Eukaryota","MAST-3","MAST-3A","MAST-3A",NA,NA,NA,0.00456594692814493
"e4993b9cd268b20e0968ae97517c05e1","d__Eukaryota","Retaria","Acantharia","uncultured",NA,NA,NA,0.00404656640585854
"57532b0fe2756ad8a79578e158ffea21","d__Eukaryota","Holozoa","Ichthyosporea","Abeoformidae",NA,NA,NA,0.00404265270924963
"62454a45429480bc6b5123811e8761ef","d__Eukaryota","Chlorophyta","Chlorophyceae","Chlorophyceae",NA,NA,NA,0.00390863549620758
"42cf3999ac1aa41e0d8f7d156117154d","d__Eukaryota","Retaria","RAD_C","RAD_C",NA,NA,NA,0.00388541008258355
